event_id,event_time,partition,source_system,source_vm,client_ip,database_name,login_name,lifecycle_phase,event_type,command_type,object_name,sql_text,query_length,rows_returned,failed_login_count,privilege_changed,maintenance_window,risk_label,severity,is_attack,attack_scenario,risk_score,baseline_score,baseline_decision,normalized_label,dataset_version
EVT-000001,2026-06-01T00:00:00+00:00,train,mssql,aidac-mssql,192.168.136.159,core_banking,app_user,normal_operation,maintenance,BACKUP,customers,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,3,0,0,0,normal,LOW,0,none,0.2333,0.2311,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000002,2026-06-01T00:00:05+00:00,train,pgsql,aidac-pgsql,192.168.136.127,crm,svc_report,normal_operation,read,SELECT,orders,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,332,0,0,0,normal,LOW,0,none,0.2414,0.2002,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000003,2026-06-01T00:00:33+00:00,train,mssql,aidac-mssql,192.168.136.106,core_banking,etl_user,normal_operation,maintenance,ALTER,customers,ALTER INDEX idx_orders_customer REBUILD;,40,6,0,0,0,normal,INFO,0,none,0.3259,0.2993,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000004,2026-06-01T00:00:47+00:00,train,mssql,aidac-mssql,192.168.136.116,hr,svc_batch,deployment_window,maintenance,ALTER,customers,ALTER INDEX idx_orders_customer REBUILD;,40,14,0,0,1,normal,LOW,0,none,0.187,0.1289,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000005,2026-06-01T00:01:09+00:00,train,pgsql,aidac-pgsql,192.168.136.40,hr,svc_batch,backup_window,maintenance,ALTER,orders,ALTER INDEX idx_orders_customer REBUILD;,40,7,0,0,1,normal,INFO,0,none,0.2651,0.2385,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000006,2026-06-01T00:01:26+00:00,train,mssql,aidac-mssql,192.168.136.194,hr,etl_user,normal_operation,maintenance,BACKUP,payments,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,8,0,0,0,normal,INFO,0,none,0.2416,0.199,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000007,2026-06-01T00:01:34+00:00,train,pgsql,aidac-pgsql,192.168.136.162,auditdb,readonly_user,normal_operation,reporting,SELECT,orders,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,473,0,0,0,normal,LOW,0,none,0.2212,0.1622,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000008,2026-06-01T00:02:01+00:00,train,mssql,aidac-mssql,192.168.136.165,crm,app_user,normal_operation,read,SELECT,payments,"SELECT customer_id, status FROM customers WHERE customer_id = 69404;",68,108,0,0,0,normal,LOW,0,none,0.3113,0.2964,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000009,2026-06-01T00:02:19+00:00,train,pgsql,aidac-pgsql,192.168.136.211,auditdb,svc_etl,normal_operation,write,INSERT,users,"INSERT INTO audit_log(user_id, action, created_at) VALUES (258608, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,17,0,0,0,normal,LOW,0,none,0.1879,0.1251,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000010,2026-06-01T00:02:34+00:00,train,mssql,aidac-mssql,192.168.136.60,crm,etl_user,normal_operation,write,UPDATE,payments,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 49406;,75,3,0,0,0,normal,LOW,0,none,0.0604,0.0187,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000011,2026-06-01T00:02:49+00:00,train,mssql,aidac-mssql,192.168.136.49,billing,svc_etl,incident_response,write,INSERT,payments,"INSERT INTO audit_log(user_id, action, created_at) VALUES (902593, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,0,0,0,0,normal,LOW,0,none,0.2345,0.1807,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000012,2026-06-01T00:03:02+00:00,train,pgsql,aidac-pgsql,192.168.136.148,hr,svc_backup,normal_operation,read,SELECT,orders,"SELECT customer_id, status FROM customers WHERE customer_id = 757169;",69,448,0,0,0,normal,INFO,0,none,0.2475,0.1866,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000013,2026-06-01T00:03:14+00:00,train,pgsql,aidac-pgsql,192.168.136.219,auditdb,svc_report,normal_operation,maintenance,ALTER,users,ALTER INDEX idx_orders_customer REBUILD;,40,5,0,0,0,normal,INFO,0,none,0.188,0.1461,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000014,2026-06-01T00:03:32+00:00,train,mssql,aidac-mssql,192.168.136.40,core_banking,backup_user,normal_operation,read,SELECT,customers,"SELECT customer_id, status FROM customers WHERE customer_id = 252573;",69,449,0,0,0,normal,LOW,0,none,0.1972,0.1401,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000015,2026-06-01T00:03:59+00:00,train,mssql,aidac-mssql,192.168.136.175,crm,etl_user,maintenance_window,reporting,SELECT,audit_log,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,135,0,0,1,normal,INFO,0,none,0.1841,0.1191,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000016,2026-06-01T00:04:26+00:00,train,mssql,aidac-mssql,192.168.136.152,auditdb,readonly_user,normal_operation,maintenance,BACKUP,audit_log,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,20,0,0,0,normal,INFO,0,none,0.1332,0.1158,allow,normal,controlled_sql_lab_47832_v1_seed42
