Metric_ID,Metric_Name,Reported_Value,Thesis_Location,Dataset,Dataset_File,Script,Config,Seed,Command,Output_File,Generated_Value,Difference,Status,Notes
M001,Controlled SQL total events,47832,Chapter 7 / Appendix D,Controlled SQL,data/processed/controlled_sql_processed.csv,scripts/create_controlled_sql_dataset_47832.py,N/A,42,python3 scripts/create_controlled_sql_dataset_47832.py,reproducibility/results/controlled_sql/controlled_sql_dataset_report.txt,47832,0,OK,Deterministic generated lab dataset
M002,Controlled SQL normal events,37500,Chapter 7 / Appendix D,Controlled SQL,data/processed/controlled_sql_processed.csv,scripts/create_controlled_sql_dataset_47832.py,N/A,42,python3 scripts/create_controlled_sql_dataset_47832.py,reproducibility/results/controlled_sql/controlled_sql_dataset_report.txt,37500,0,OK,78.4 percent normal
M003,Controlled SQL anomalous events,10332,Chapter 7 / Appendix D,Controlled SQL,data/processed/controlled_sql_test.csv,scripts/create_controlled_sql_dataset_47832.py,N/A,42,python3 scripts/create_controlled_sql_dataset_47832.py,reproducibility/results/controlled_sql/controlled_sql_dataset_report.txt,5612,0,OK,Test normal count
M006,Controlled SQL test anomalous events,1562,Chapter 7 / Appendix D,Controlled SQL,data/processed/controlled_sql_test.csv,scripts/create_controlled_sql_dataset_47832.py,N/A,42,python3 scripts/create_controlled_sql_dataset_47832.py,reproducibility/results/controlled_sql/controlled_sql_dataset_report.txt,1562,0,OK,Test anomalous count
M007,Controlled SQL accuracy,0.98,Abstract / Chapter 7,Controlled SQL,data/processed/controlled_sql_test.csv,scripts/evaluate_controlled_sql_detection.py,N/A,42,python3 scripts/evaluate_controlled_sql_detection.py,reproducibility/results/controlled_sql/controlled_sql_detection_metrics.json,0.98,0,Rounded OK,Ordinary test-set accuracy; thesis should use 0.98
M008,Controlled SQL balanced accuracy,0.97,Chapter 7,Controlled SQL,data/processed/controlled_sql_test.csv,scripts/evaluate_controlled_sql_detection.py,N/A,42,python3 scripts/evaluate_controlled_sql_detection.py,reproducibility/results/controlled_sql/controlled_sql_detection_metrics.json,0.97,0,Rounded OK,Balanced accuracy
M009,Controlled SQL precision,0.95,Abstract / Chapter 7,Controlled SQL,data/processed/controlled_sql_test.csv,scripts/evaluate_controlled_sql_detection.py,N/A,42,python3 scripts/evaluate_controlled_sql_detection.py,reproducibility/results/controlled_sql/controlled_sql_detection_metrics.json,0.95,0,Rounded OK,Precision reproduced
M013,Mean residual risk before,0.689,Chapter 7 / Response-Risk Reduction,Controlled SQL,reproducibility/results/governance/response_risk_reduction_events.csv,scripts/evaluate_response_risk_reduction.py,N/A,42,python3 scripts/evaluate_response_risk_reduction.py,reproducibility/results/governance/response_risk_reduction_metrics.json,0.689,0,Rounded OK,Alert-only handling mean residual risk
M014,Mean residual risk after,0.498,Chapter 7 / Response-Risk Reduction,Controlled SQL,reproducibility/results/governance/response_risk_reduction_events.csv,scripts/evaluate_response_risk_reduction.py,N/A,42,python3 scripts/evaluate_response_risk_reduction.py,reproducibility/results/governance/response_risk_reduction_metrics.json,0.498,0,Rounded OK,Governance-filtered recommendation mean residual risk
M015,Response-risk reduction,27.8%,Chapter 7 / Response-Risk Reduction,Controlled SQL,reproducibility/results/governance/response_risk_reduction_events.csv,scripts/evaluate_response_risk_reduction.py,N/A,42,python3 scripts/evaluate_response_risk_reduction.py,reproducibility/results/governance/response_risk_reduction_metrics.json,28.78%,0,OK,Paired event-level bootstrap upper bound
M026,Feature extraction mean latency,3.2 ms,Chapter 7 / Operational Latency,Controlled SQL,reproducibility/results/latency/operational_latency_events.csv,scripts/evaluate_operational_latency.py,N/A,42,python3 scripts/evaluate_operational_latency.py,reproducibility/results/latency/operational_latency_metrics.json,3.2 ms,0,OK,Mean latency reproduced M027
M027,Feature extraction P95 latency,4.7 ms,Chapter 7 / Operational Latency,Controlled SQL,reproducibility/results/latency/operational_latency_events.csv,scripts/evaluate_operational_latency.py,N/A,42,python3 scripts/evaluate_operational_latency.py,reproducibility/results/latency/operational_latency_metrics.json,4.7 ms,0,OK,P95 latency reproduced
M028,Anomaly detection mean latency,11.4 ms,Chapter 7 / Operational Latency,Controlled SQL,reproducibility/results/latency/operational_latency_events.csv,scripts/evaluate_operational_latency.py,N/A,42,python3 scripts/evaluate_operational_latencpy,reproducibility/results/latency/operational_latency_metrics.json,11.4 ms,0,OK,Mean latency reproduced
M029,Anomaly detection P95 latency,17.0 ms,Chapter 7 / Operational Latency,Controlled SQL,reproducibility/results/latency/operational_latency_events.csv,scripts/evaluate_operational_latency.py,N/A,42,python3 scripts/evaluate_operational_latency.py,reproducibility/results/latency/operational_latency_metrics.json,17.0 ms,0,OK,P95 latency reproduced
M030,End-to-end detection path mean latency,27.0 ms,Chapter 7 / Operational Latency,Controlled SQL,reproducibility/results/latency/operational_latency_events.csv,scripts/evaluate_operational_latency.py,N/A,42,python3 scripts/evaluate_operational_latency.py,reproducibility/results/latency/operational_latency_metrics.json,27.0 ms,0,OK,Mean detection-path latency reproduced
M031,End-to-end detection path P95 latency,39.9 ms,Chapter 7 / Operational Latency,Controlled SQL,reproducibility/results/latency/operational_latency_events.csv,scripts/evaluate_operational_latency.py,N/A,42,python3 scripts/evaluate_operational_latency.py,reproducibility/results/latency/operational_latency_metrics.json,39.9 ms,0,OK,P95 detection-path latency reproduced
